,date,eur_exch_rate,jpy_exch_rate,cny_exch_rate,bt_close,bt_volume,bt_close_off_high,bt_volatility,google_trends_bitcoin,avg_block_size,transactions,difficulty,bchain_size,mining_revenue,hash_rate,cost_per_transaction,sp_close,dj_close,nasdaq_close,vix_close,gold_am,silver,oil_price
1967,2013-04-28,,,,134.21,0,-0.08762886597938979,0.028677014042867665,1.8797594580775565,0.12653906586826347,40986.0,8974296.01489,6820.0,572109.88793,13.9586660794,107554.0,,,,,,,
1966,2013-04-29,1.3113000392913798,,,144.54,0,-0.5626389918458095,0.1003421600714074,1.7808247497576852,0.12653906586826347,40986.0,8974296.01489,6844.0,645240.0912,12.9024793777,73687.0,1593.6099853515625,14818.75,3307.02001953125,13.710000038146973,1472.5,24.27,94.09
1965,2013-04-30,1.30719995498657,0.0102134607732296,,139.0,0,0.2313664596273306,0.08944444444444441,1.5829553331179422,0.18553886577181208,48795.0,10076292.8834,6870.0,525692.911,10.773499559400001,60887.0,1597.5699462890625,14839.7998046875,3328.7900390625,13.520000457763672,1472.75,24.42,93.22
1964,2013-05-01,1.30719995498657,0.0102827763184905,,116.99,0,0.4236866645943427,0.23143884892086322,2.0776288747172993,0.18553886577181208,48795.0,10076292.8834,6892.0,442507.28799999994,8.77346567004,61672.0,1582.699951171875,14700.9501953125,3299.1298828125,14.489999771118164,1469.5,23.97,90.74
1963,2013-05-02,1.31910014152527,0.0102859493345022,0.161077290773392,105.21,0,0.22388955582232928,0.2863034885719195,2.0776288747172993,0.1899492777777778,57278.0,10076292.8834,6918.0,383775.10965,6.70021840235,67744.0,1597.5899658203125,14831.580078125,3340.6201171875,13.59000015258789,1456.0,23.69,93.7
1962,2013-05-03,1.31140005588531,0.0102859493345022,0.160895869135857,97.75,0,-0.28487771271098894,0.2732235294117647,2.176563583037171,0.1899492777777778,57278.0,10076292.8834,6943.0,346890.6,6.21011117277,70210.0,1614.4200439453125,14973.9599609375,3378.6298828125,12.850000381469727,1476.5,24.25,95.25
1961,2013-05-04,1.31140005588531,0.0102859493345022,0.160895869135857,112.5,0,-0.7777777777777778,0.22935779816513763,1.7808247497576852,0.15648173376623378,48349.0,10076292.8834,6965.0,435864.26268000004,9.0149592066,56115.0,1614.4200439453125,14973.9599609375,3378.6298828125,12.850000381469727,1476.5,24.25,95.25
1960,2013-05-05,1.31140005588531,0.0102859493345022,0.160895869135857,115.91,0,-0.5042881646655228,0.10327723649247118,1.7808247497576852,0.15648173376623378,48349.0,10076292.8834,6988.0,458356.35888,9.27490153342,55974.0,1614.4200439453125,14973.9599609375,3378.6298828125,12.850000381469727,1476.5,24.25,95.25
1959,2013-05-06,1.31070005893707,0.0102859493345022,0.160994306206703,112.3,0,0.3718091009988904,0.15537161579582684,1.6818900414378137,0.16047550920245401,51244.0,10076292.8834,7012.0,498918.70875,9.73613903579,64381.0,1617.5,14968.8896484375,3392.969970703125,12.65999984741211,1476.5,24.25,95.8
1958,2013-05-07,1.31070005893707,0.0101040722802281,0.161074683070183,111.5,0,-0.753494282083863,0.14022271714922044,1.5829553331179422,0.16047550920245401,51244.0,10076292.8834,7040.0,474770.45,8.01773959301,89457.0,1625.9599609375,15056.2001953125,3396.6298828125,12.829999923706055,1463.0,23.75,95.28
1957,2013-05-08,1.31350004673004,0.010111222974956,0.16134236752986902,113.57,0,-0.28478964401294316,0.05638686131386868,1.484020624798071,0.1539793374233129,47359.0,10076292.8834,7063.0,469929.84124,9.922714610529999,95352.0,1632.68994140625,15105.1201171875,3413.27001953125,12.65999984741211,1454.0,23.86,96.24
