,date
0,2018-09-11
1,2018-09-10
2,2018-09-09
3,2018-09-08
4,2018-09-07
5,2018-09-06
6,2018-09-05
7,2018-09-04
8,2018-09-03
9,2018-09-02
10,2018-09-01
11,2018-08-31
12,2018-08-30
13,2018-08-29
14,2018-08-28
15,2018-08-27
16,2018-08-26
17,2018-08-25
18,2018-08-24
19,2018-08-23
20,2018-08-22
21,2018-08-21
22,2018-08-20
23,2018-08-19
24,2018-08-18
25,2018-08-17
26,2018-08-16
27,2018-08-15
28,2018-08-14
29,2018-08-13
30,2018-08-12
31,2018-08-11
32,2018-08-10
33,2018-08-09
34,2018-08-08
35,2018-08-07
36,2018-08-06
37,2018-08-05
38,2018-08-04
39,2018-08-03
40,2018-08-02
41,2018-08-01
42,2018-07-31
43,2018-07-30
44,2018-07-29
45,2018-07-28
46,2018-07-27
47,2018-07-26
48,2018-07-25
49,2018-07-24
50,2018-07-23
51,2018-07-22
52,2018-07-21
53,2018-07-20
54,2018-07-19
55,2018-07-18
56,2018-07-17
57,2018-07-16
58,2018-07-15
59,2018-07-14
60,2018-07-13
61,2018-07-12
62,2018-07-11
63,2018-07-10
64,2018-07-09
65,2018-07-08
66,2018-07-07
67,2018-07-06
68,2018-07-05
69,2018-07-04
70,2018-07-03
71,2018-07-02
72,2018-07-01
73,2018-06-30
74,2018-06-29
75,2018-06-28
76,2018-06-27
77,2018-06-26
78,2018-06-25
79,2018-06-24
80,2018-06-23
81,2018-06-22
82,2018-06-21
83,2018-06-20
84,2018-06-19
85,2018-06-18
86,2018-06-17
87,2018-06-16
88,2018-06-15
89,2018-06-14
90,2018-06-13
91,2018-06-12
92,2018-06-11
93,2018-06-10
94,2018-06-09
95,2018-06-08
96,2018-06-07
97,2018-06-06
98,2018-06-05
99,2018-06-04
100,2018-06-03
101,2018-06-02
102,2018-06-01
103,2018-05-31
104,2018-05-30
105,2018-05-29
106,2018-05-28
107,2018-05-27
108,2018-05-26
109,2018-05-25
110,2018-05-24
111,2018-05-23
112,2018-05-22
113,2018-05-21
114,2018-05-20
115,2018-05-19
116,2018-05-18
117,2018-05-17
118,2018-05-16
119,2018-05-15
120,2018-05-14
121,2018-05-13
122,2018-05-12
123,2018-05-11
124,2018-05-10
125,2018-05-09
126,2018-05-08
127,2018-05-07
128,2018-05-06
129,2018-05-05
130,2018-05-04
131,2018-05-03
132,2018-05-02
133,2018-05-01
134,2018-04-30
135,2018-04-29
136,2018-04-28
137,2018-04-27
138,2018-04-26
139,2018-04-25
140,2018-04-24
141,2018-04-23
142,2018-04-22
143,2018-04-21
144,2018-04-20
145,2018-04-19
146,2018-04-18
147,2018-04-17
148,2018-04-16
149,2018-04-15
150,2018-04-14
151,2018-04-13
152,2018-04-12
153,2018-04-11
154,2018-04-10
155,2018-04-09
156,2018-04-08
157,2018-04-07
158,2018-04-06
159,2018-04-05
160,2018-04-04
161,2018-04-03
162,2018-04-02
163,2018-04-01
164,2018-03-31
165,2018-03-30
166,2018-03-29
167,2018-03-28
168,2018-03-27
169,2018-03-26
170,2018-03-25
171,2018-03-24
172,2018-03-23
173,2018-03-22
174,2018-03-21
175,2018-03-20
176,2018-03-19
177,2018-03-18
178,2018-03-17
179,2018-03-16
180,2018-03-15
181,2018-03-14
182,2018-03-13
183,2018-03-12
184,2018-03-11
185,2018-03-10
186,2018-03-09
187,2018-03-08
188,2018-03-07
189,2018-03-06
190,2018-03-05
191,2018-03-04
192,2018-03-03
193,2018-03-02
194,2018-03-01
195,2018-02-28
196,2018-02-27
197,2018-02-26
198,2018-02-25
199,2018-02-24
200,2018-02-23
201,2018-02-22
202,2018-02-21
203,2018-02-20
204,2018-02-19
205,2018-02-18
206,2018-02-17
207,2018-02-16
208,2018-02-15
209,2018-02-14
210,2018-02-13
211,2018-02-12
212,2018-02-11
213,2018-02-10
214,2018-02-09
215,2018-02-08
216,2018-02-07
217,2018-02-06
218,2018-02-05
219,2018-02-04
220,2018-02-03
221,2018-02-02
222,2018-02-01
223,2018-01-31
224,2018-01-30
225,2018-01-29
226,2018-01-28
227,2018-01-27
228,2018-01-26
229,2018-01-25
230,2018-01-24
231,2018-01-23
232,2018-01-22
233,2018-01-21
234,2018-01-20
235,2018-01-19
236,2018-01-18
237,2018-01-17
238,2018-01-16
239,2018-01-15
240,2018-01-14
241,2018-01-13
242,2018-01-12
243,2018-01-11
